home_country,total_migrants,returned_migrants,return_rate,median_timespent_abroad
Denmark,146444,74960,51.2,2.2
Sweden,197292,99365,50.4,2.3
Finland,86319,42007,48.7,2.1
Netherlands,365615,177117,48.4,2.1
Norway,91974,43358,47.1,2.3
France,1149141,512250,44.6,2
Peru,173402,76646,44.2,2.2
Chile,116405,48463,41.6,2
Spain,770418,309861,40.2,2.1
Brazil,547305,219210,40.1,2
Central African Republic,454,22,4.8,4
Guinea-Bissau,214,10,4.7,4
Cote dIvoire,3501,157,4.5,2.6
Greenland,811,35,4.3,3.8
French Polynesia,556,20,3.6,3.4
Syria,33418,1192,3.6,3.3
Svalbard,189,6,3.2,3.5
Cuba,20913,595,2.8,3.2
Eritrea,1365,13,1,3
Yugoslavia,193,0,0,8.7
